,BioSample,SRA,bin_amoxicillin-clavulanic acid,mic_amoxicillin-clavulanic acid,bin_ampicillin,mic_ampicillin,bin_azithromycin,mic_azithromycin,bin_cefoxitin,mic_cefoxitin,bin_ceftiofur,mic_ceftiofur,bin_ceftriaxone,mic_ceftriaxone,bin_chloramphenicol,mic_chloramphenicol,bin_ciprofloxacin,mic_ciprofloxacin,bin_gentamicin,mic_gentamicin,bin_kanamycin,mic_kanamycin,bin_nalidixic acid,mic_nalidixic acid,bin_streptomycin,mic_streptomycin,bin_sulfisoxazole,mic_sulfisoxazole,bin_tetracycline,mic_tetracycline,bin_trimethoprim-sulfamethoxazole,mic_trimethoprim-sulfamethoxazole,CFSAN,bin_amikacin,mic_amikacin,bin_sulfamethoxazole,mic_sulfamethoxazole,bin_meropenem,mic_meropenem,EDLB-CDC,bin_colistin,mic_colistin,bin_tigecycline,mic_tigecycline,bin_imipenem,mic_imipenem,bin_nitrofurantoin,mic_nitrofurantoin,bin_cefuroxime,mic_cefuroxime,bin_cefepime,mic_cefepime,bin_ertapenem,mic_ertapenem,bin_amoxicillin,mic_amoxicillin,bin_ticarcillin,mic_ticarcillin,bin_cefalotin,mic_cefalotin,bin_cefotaxime,mic_cefotaxime,bin_sulfonamide,mic_sulfonamide,bin_ceftazidime,mic_ceftazidime,bin_ampicillin-sulbactam,mic_ampicillin-sulbactam,bin_doripenem,mic_doripenem,bin_levofloxacin,mic_levofloxacin,bin_piperacillin-tazobactam,mic_piperacillin-tazobactam,bin_cefazolin,mic_cefazolin,bin_tobramycin,mic_tobramycin,bin_moxifloxacin,mic_moxifloxacin,bin_aztreonam,mic_aztreonam,bin_ceftazidime-avibactam,mic_ceftazidime-avibactam,bin_ceftolozane-tazobactam,mic_ceftolozane-tazobactam,bin_erythromycin,mic_erythromycin,bin_minocycline,mic_minocycline,bin_polymyxin B,mic_polymyxin B
1002,SAMN03938882,SRS1092733,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,16.0,0.0,8.0,0.0,0.015,0.0,0.5,1.0,64.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,SAMN03938881,SRS1114213,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,SAMN03938880,SRS1114214,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,32.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,SAMN03938879,SRS1107887,0.0,2.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,SAMN03938878,SRS1181057,0.0,2.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,SAMN03938877,SRS1181053,0.0,1.0,0.0,2.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,SAMN03938876,SRS1107884,0.0,2.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.06,0.0,2.0,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.5,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,SAMN03938875,SRS1107885,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,SAMN03938874,SRS1107886,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,SAMN03938873,SRS1141918,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,SAMN03938872,SRS1141919,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,2.0,0.0,32.0,0.0,128.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,SAMN03938871,SRS1141920,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,16.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,SAMN03938870,SRS1141921,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,0.5,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,2.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,SAMN03938869,SRS1107980,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,SAMN03938868,SRS1107978,0.0,1.0,0.0,2.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,SAMN03938867,SRS1181055,0.0,1.0,0.0,1.0,,,0.0,1.0,0.0,0.5,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,2.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,SAMN03938866,SRS1181056,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,1.0,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,SAMN03938865,SRS1181052,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,SAMN03938864,SRS1181054,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,SAMN03938863,SRS1107979,0.0,8.0,1.0,32.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,4.0,,0.25,0.0,0.5,0.0,8.0,1.0,32.0,1.0,64.0,0.0,32.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,SAMN03938862,SRS1112184,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,2.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,SAMN03938861,SRS1112185,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,2.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,SAMN03938860,SRS1112181,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,SAMN03938859,SRS1157149,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,SAMN03938858,SRS1144504,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,4.0,1.0,64.0,1.0,256.0,1.0,16.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,SAMN03938857,SRS1144505,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,4.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,SAMN03938856,SRS1144506,0.0,1.0,0.0,2.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,128.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,SAMN03938855,SRS1144507,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.06,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,1.0,32.0,0.0,0.125,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,SAMN03938854,SRS1120676,0.0,2.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,64.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,SAMN03938853,SRS1120677,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,SAMN03938852,SRS1120678,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,16.0,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,SAMN03938851,SRS1120679,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,1.0,64.0,0.0,256.0,1.0,32.0,0.0,0.5,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,SAMN03938850,SRS1120680,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,SAMN03938849,SRS1120681,0.0,1.0,0.0,2.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,4.0,1.0,64.0,1.0,256.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,SAMN03938848,SRS1120674,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,2.0,1.0,64.0,1.0,256.0,0.0,4.0,0.0,0.5,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,SAMN03938847,SRS1120667,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,2.0,0.0,32.0,0.0,16.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,SAMN03938846,SRS1120668,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,1.0,64.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,SAMN03938845,SRS1120669,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,32.0,0.0,4.0,0.0,0.03,0.0,0.25,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.5,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,SAMN03938844,SRS1246252,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,SAMN03938843,SRS1171564,1.0,32.0,1.0,32.0,,,1.0,32.0,1.0,8.0,1.0,16.0,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,SAMN03938842,SRS1157148,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,0.5,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,1.0,64.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,SAMN03938841,SRS1158629,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,1.0,0.0,8.0,0.0,4.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,SAMN03938840,SRS1246253,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,0.0,8.0,0.0,4.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,SAMN03938839,SRS1158627,,16.0,1.0,32.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,1.0,64.0,0.0,4.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,SAMN03938838,SRS1158628,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,SAMN03938837,SRS1158613,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,1.0,64.0,0.0,4.0,1.0,64.0,0.0,32.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,SAMN03938836,SRS1158614,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,0.5,0.0,0.25,0.0,4.0,0.0,0.015,,8.0,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,SAMN03938835,SRS1158607,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,4.0,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,SAMN03938834,SRS1158609,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,SAMN03938833,SRS1158608,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,1.0,64.0,0.0,8.0,0.0,32.0,0.0,32.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,SAMN03938832,SRS1158610,0.0,8.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,1.0,64.0,0.0,4.0,0.0,32.0,0.0,32.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,SAMN03938831,SRS1158611,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,SAMN03938830,SRS1158606,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,1.0,64.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.5,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,SAMN03938829,SRS1158600,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.5,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,SAMN03938828,SRS1181007,0.0,2.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,1.0,64.0,0.0,4.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,SAMN03938827,SRS1181008,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.06,1.0,16.0,0.0,8.0,0.0,4.0,1.0,64.0,1.0,256.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,SAMN03938826,SRS1181009,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,SAMN03938825,SRS1171565,0.0,1.0,0.0,1.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,2.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,SAMN03938824,SRS1171567,0.0,2.0,0.0,2.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,1.0,16.0,0.0,16.0,0.0,4.0,1.0,64.0,1.0,256.0,1.0,32.0,0.0,0.125,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,SAMN03938823,SRS1171566,,16.0,1.0,32.0,,,0.0,8.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,SAMN03938822,SRS1144548,,16.0,1.0,32.0,,,0.0,4.0,0.0,2.0,0.0,0.25,0.0,8.0,0.0,0.03,0.0,0.5,0.0,8.0,0.0,4.0,0.0,32.0,0.0,32.0,0.0,4.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,SAMN03938821,SRS1144503,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,1.0,16.0,0.0,16.0,0.0,4.0,1.0,64.0,1.0,256.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,SAMN03938820,SRS1157147,,16.0,1.0,32.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,1.0,64.0,0.0,4.0,1.0,64.0,0.0,32.0,1.0,32.0,0.0,0.25,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,SAMN03938819,SRS1157146,0.0,8.0,1.0,32.0,,,0.0,4.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.015,0.0,0.5,1.0,64.0,0.0,4.0,1.0,64.0,0.0,32.0,1.0,32.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,SAMN03938818,SRS1157145,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.25,0.0,8.0,0.0,2.0,0.0,32.0,0.0,64.0,0.0,4.0,0.0,0.125,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,SAMN03938817,SRS1157140,0.0,1.0,0.0,1.0,,,0.0,2.0,0.0,1.0,0.0,0.25,0.0,8.0,0.0,0.015,0.0,0.5,0.0,8.0,0.0,2.0,0.0,32.0,0.0,16.0,0.0,4.0,0.0,0.125,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
